Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
Angola,50,79,78,33,77,62,71,64,85,55,50,21,57,38,15,25,35,36,38,13,35,29,33,35,39,41,45,35,40,1312
Bolivia (Plurinational State of),123,104,120,51,117,142,125,141,138,158,148,94,127,103,155,110,146,116,120,128,117,132,105,120,100,84,78,84,83,3368
Brazil,27286,27293,34603,28167,28192,18060,29197,26148,36761,47578,31310,31365,48352,28873,39281,32933,48432,38911,51491,43977,55428,48592,55418,54689,53305,52871,56788,52740,62925,1190966
Burundi,487,667,620,393,664,434,401,250,492,351,487,144,454,338,437,103,499,133,412,112,353,204,406,163,248,274,249,202,178,10155
Ecuador,1504,2124,1185,2069,2376,1888,1993,1191,1206,1198,854,793,582,641,780,935,1035,950,771,813,854,825,828,666,644,644,645,624,601,31219
Indonesia,7441,8493,5569,6743,5368,4573,8221,7621,7296,6557,6987,6833,6731,6404,7536,9159,7483,7777,9612,11380,9129,6889,13070,12901,10946,12585,11541,10852,9418,245117
Madagascar,982,933,1122,442,641,785,849,624,992,427,362,147,445,435,522,599,587,614,728,457,530,585,500,584,501,425,421,409,396,17044
Malawi,105,124,137,62,84,91,49,61,64,59,63,60,42,48,21,24,17,19,21,17,17,26,23,28,25,21,20,14,13,1355
Papua New Guinea,963,747,900,1019,1139,1002,1089,1074,1352,1387,1041,1063,1085,1155,998,1268,807,968,1028,1038,867,1414,716,835,798,712,1171,734,930,29300
Paraguay,131,80,54,70,25,23,26,23,58,20,42,20,26,52,26,45,26,39,20,20,20,20,20,20,20,20,20,20,20,1006
Peru,937,1200,1762,665,1179,1871,1806,1930,2102,2744,2676,2829,3000,2686,3425,2489,4319,3063,3872,3286,4069,5373,4450,4106,2883,3304,4223,4279,4263,84791
Rwanda,535,484,639,444,22,329,293,193,223,307,273,296,320,266,450,337,351,224,369,259,323,251,259,258,238,293,231,254,268,8987
Timor-Leste,0,0,0,0,0,0,0,0,0,0,7,33,37,42,17,24,46,36,48,47,60,47,61,80,111,59,82,65,139,1040
