Year Trend,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
Coffe Produciton (In 1K 60-kg bags) crop year,93230,101269,98523,91762,93314,87318,103306,99861,108892,131385,113764,107901,122615,105508,116067,111169,135392,121842,134801,127975,142015,142475,151285,154094,149750,153988,159915,158076,170935,
Coffe Export (In 1K 60-kg bags) crop year,73887,79768,76957,74130,65962,74253,81884,77962,82872,92405,87970,85759,90260,87986,89841,88137,98495,94173,95466,94627,102962,106378,107611,113519,113235,120520,119502,119836,125174,
Coffe Imports (In 1K 60-kg bags) Calendar Year 137c,100082,97310,103653,101530,100811,95216,103284,108001,109718,116301,119015,122409,126768,128342,136139,136745,142862,149223,154346,151695,161059,165720,170548,176426,105413,108423,112977,118532,121000,
re-exports (In 1K 60-kg bags) Calendar Year 35c,8769,9770,10691,11041,12833,11539,12485,14136,15135,15331,16796,18588,19602,21284,21693,24028,26123,28747,32106,31873,34048,35461,36221,36282,39037,40258,42437,43110,44808,
Inventories (In 1K 60-kg bags),15619,13200,16843,14218,12667,7905,6494,6896,6601,8601,12187,12678,14105,13708,13259,12387,13237,13696,13157,12107,11274,11821,12542,13791,14639,15639,16745,16542,15503,
Domestic Consumption (In 1K 60-kg bags),19509,20228,20951,21098,21360,22603,23513,24271,25117,25741,27068,28309,28752,29833,31413,33143,34974,36911,38403,39800,41858,43340,44754,45509,46666,47548,48488,49793,50510,
ICO composite (USD $/lb),0.72,0.67,0.53,0.62,1.34,1.38,1.02,1.34,1.09,0.86,0.64,0.46,0.48,0.52,0.62,0.89,0.96,1.08,1.24,1.16,1.47,2.1,1.56,1.2,1.55,1.25,1.27,1.27,1.09,
WTI ave closing price USD,24.53,21.54,20.58,18.43,17.2,18.43,22.12,20.61,14.42,19.35,30.38,25.98,26.19,31.08,41.51,56.64,66.05,72.34,99.67,61.95,79.48,94.88,94.05,97.98,93.17,48.66,43.29,50.8,65.23,
Brent ave closing USD,23.76,20.04,19.32,17.01,15.86,17.02,20.64,19.11,12.76,17.9,28.66,24.46,24.99,28.85,38.26,54.57,65.16,72.44,96.94,61.74,79.61,111.26,111.57,108.56,98.97,53.03,45.13,54.71,71.34,
Retail Price (In USD/lb)-Iso-28C,4.53,4.48,4.53,4.03,4.59,6.03,5.68,5.35,5.31,4.83,4.19,3.76,3.73,4.24,4.56,4.73,4.89,5.45,6.09,5.72,5.77,6.99,6.91,6.81,6.82,6.02,5.83,6.14,6.38,
